title,views,days_ago,upload_time
"CRYPTO NEWS - Pump or Dump? Altcoin Season, FOMO Picking Up!","32,240",1095,19 minutes
"ETHEREUM ALL-TIME HIGH!!! $2,000 ETH NEXT?","30,811",1095,"10 minutes, 39 seconds"
BREAKING CRYPTO NEWS!!! BITCOIN MASS ADOPTION,"29,894",1095,"9 minutes, 38 seconds"
"BITCOIN NEW ATH, MEME COINS UP OVER 100%, THE MADNESS BEGINS","28,300",120,4 months ago 19 minutes
MAKING $1 MILLION IN CRYPTO,"28,005",180,6 months ago 25 minutes
ALTCOIN SEASON SOON! Top 10 Crypto Price Predictions,"26,750",1095,19 minutes
100X CRYPTO HIDDEN GEMS,"26,350",180,6 months ago 17 minutes
100X CRYPTO HIDDEN GEMS (part 1 - strategy),"26,253",180,6 months ago 19 minutes
DO THIS NOW... (Best Crypto Strategy),"25,695",210,7 months ago 29 minutes
Can Cardano ADA Make You A Millionaire? Realistically,"24,991",1460,18 minutes
THIS IS CRAZY FOR CRYPTO,"24,974",120,4 months ago 17 minutes
CRYPTO BREAKING NEWS (10x GAINS),"24,713",180,"6 months ago 11 minutes, 15 seconds"
This Is Game Changing for Crypto... (WATCH THIS BEFORE IT'S TOO LATE),"24,541",150,5 months ago 19 minutes
This Is So Dumb...,"24,291",180,"6 months ago 6 minutes, 39 seconds"
I Can't Believe This Is Real,"23,400",180,"6 months ago 4 minutes, 31 seconds"
Ripple XRP - Here's the Problem...,"22,513",1095,22 minutes
TOP 5 GAMING ALTCOINS,"21,736",180,6 months ago 16 minutes
CRYPTO NEWS - A Massive Shift In Wealth Is Happening NOW!,"21,499",1095,19 minutes
The perfect storm is coming to Crypto...,"21,275",180,6 months ago 17 minutes
Cardano ADA: PRICE SET TO EXPLODE! Why I'm Bullish NOW,"20,713",1460,16 minutes
This Will Make Crypto 10X (Don't Miss This!),"19,915",150,"5 months ago 14 minutes, 10 seconds"
TOP 8 ALTCOINS AUGUST 2020 - HUGE PROFITS!!,"19,604",1095,19 minutes
5 Reasons Cardano ADA Will Pass 50 Cents Soon,"19,531",1460,29 minutes
CARDANO Massive Updates! September is HUGE! ADA Price Set to Explode,"19,481",1095,16 minutes
Ethereum - Should You Be Buying? $1000 Coming... 👀,"19,460",1095,16 minutes
Why Cardano ADA is Undervalued and Set to SURGE in 2021 🔴,"19,222",1095,"13 minutes, 9 seconds"
TOP 5 METAVERSE PLATFORMS IN CRYPTO,"18,996",180,6 months ago 19 minutes
HUGE Cardano Coinbase Partnership! Charles Hoskinson Explains Why,"18,957",1460,"11 minutes, 7 seconds"
CARDANO HUGE NEWS! WHEN ADA $1?,"18,813",1095,16 minutes
TOP 7 ORACLE COINS!! (See My Top Picks),"18,001",1095,"13 minutes, 4 seconds"
CRYPTO BREAKING NEWS (DONT GET HACKED!),"17,374",180,"6 months ago 14 minutes, 50 seconds"
This Week Is HUGE for Crypto!!!,"17,198",180,"6 months ago 8 minutes, 37 seconds"
Cardano: ADA Set for BLAST OFF In 2021! (Best Top 10 Cryptocurrency),"16,927",1095,18 minutes
MY 7 BIGGEST CRYPTO MISTAKES! Don't Do This!,"16,835",1460,22 minutes
Crypto Market BOOM! What Altcoins Are Next?,"16,445",1095,"14 minutes, 11 seconds"
Best Crypto Staking Projects! Earn Passive Income,"16,370",1460,22 minutes
SparkPoint SRK Going Mainstream Crypto!,"16,076",1095,26 minutes
CARDANO MASSIVE NEWS! $1 ADA COMING QUICK,"15,987",1095,16 minutes
HUGE Bitcoin Sell Offs... Important News,"15,888",150,5 months ago 19 minutes
DAY 1 - Google Opens the Gates to Bitcoin Mass Adoption,"15,672",150,"5 months ago 9 minutes, 30 seconds"
DOGE Coin Up 100%! Bitcoin $33k! Altcoin Season Is Here,"15,495",1095,"14 minutes, 6 seconds"
"Cardano ADA - New Partnerships, Price Analysis, News Updates!","15,283",1460,19 minutes
WE ARE STILL EARLY TO CRYPTO! Why 10x Is Possible in 2021 🚀,"14,736",1095,19 minutes
INVESTMENT OF A LIFETIME! 10 REASONS CRYPTO WILL MAKE YOU RICH,"14,534",1460,19 minutes
38% Profit In 3 Weeks!! Buying Bitcoin NOW! Crypto Trading Series Ep 2,"14,390",1095,"14 minutes, 20 seconds"
Why I'm Buying Cardano ADA and Binance BNB + Big Crypto News!,"14,298",1095,15 minutes
CRYPTO MARKET CRASH - BAD NEWS / IMPORTANT INFO,"13,687",1095,"11 minutes, 31 seconds"
Best Strategy to Become A Crypto Millionaire! Why Most Won't Succeed,"13,654",1460,24 minutes
WHAT'S NEXT FOR BITCOIN AND CRYPTO,"13,472",60,2 months ago 15 minutes
TOP 6 SEPTEMBER ALTCOIN PICKS!!! (Huge Profits Last Month),"13,372",1095,18 minutes
Did Joe Biden Just Pump Bitcoin? ($50k Bitcoin Insanely Bullish Data),"13,122",150,5 months ago 15 minutes
THIS IS BAD... Is the bull market over?,"13,101",0,"8 days ago 14 minutes, 19 seconds"
Cardano vs Ethereum - Which Is a Better Buy Right NOW?!,"12,976",1095,21 minutes
"CRYPTO NEWS - Polkadot, XRP, SRK, ADA","12,382",1095,"14 minutes, 43 seconds"
BEST CRYPTO HIDDEN GEM IN 2020! 💎,"12,214",1460,25 minutes
Cardano ADA Mainnet Roadmap & Price Predictions,"12,085",1460,"14 minutes, 47 seconds"
Best Top 10 Cryptocurrency to Hold for 10x Profit in 2021!,"11,898",1095,"12 minutes, 29 seconds"
"CRYPTO NEWS - Cardano ADA Surging, Ripple XRP Bad News, Bullish Altcoins","11,889",1095,16 minutes
TOP 5 ALTCOINS BULLISH IN JUNE,"11,618",1460,19 minutes
CRYPTO 101 and SparkPoint MAJOR Update! Mind Blowing Ecosystem,"11,485",1095,26 minutes
Can Ethereum ETH Make You A Millionaire? Realistically,"10,878",1460,33 minutes
"Cardano HUGE Updates, Bitcoin Mass Adoption, SparkPoint - Weekly Crypto News","10,781",1460,15 minutes
Blockchain Oracles - The next BIG thing in crypto!,"10,756",1095,"11 minutes, 32 seconds"
Cardano ADA 20 Cent Price Target In August,"10,670",1095,"8 minutes, 30 seconds"
Portfolio Update and What I'm Buying! Crypto Trading Series Ep. 3,"10,491",1095,20 minutes
Cardano ADA Price Surge Coming! Shelley Mainnet & Staking SOON!,"10,412",1460,17 minutes
This DeFi Hidden Gem Can 100x FAST!!!,"9,964",1095,20 minutes
"$10k PROFIT IN 1 WEEK! XRP, ETH, ADA, BTC - Crypto Trading Series ep.4","9,751",1095,16 minutes
WHY ALTCOIN SEASON IS HERE! DON'T MISS THIS OPPORTUNITY,"8,722",1460,18 minutes
TOP 10 ALTCOINS BULLISH IN JULY!,"8,488",1460,22 minutes
WHY CRYPTOCURRENCY WILL MAKE YOU RICH!,"8,465",1095,"3 minutes, 55 seconds"
MERRY XMAS! SparkPoint SFUEL Is Here! XRP and Crypto Market Updates,"8,458",1095,19 minutes
This Crypto is EXPLODING! SparkPoint Month In Review #2,"8,413",1460,19 minutes
SELL XRP? CRYPTO TRADING SERIES EP. 6,"8,274",1095,"10 minutes, 45 seconds"
ADA and DOT Surging! Is XRP Done For? Ethereum to $1k Soon,"8,027",1095,15 minutes
SparkPoint SRK: DeFi Crypto Gem - Month In Review #4,"7,700",1095,24 minutes
Crypto Portfolio Update for End of 2020 - Crypto Trading Series Ep. 5,"7,684",1095,"13 minutes, 1 second"
Top Altcoins End of 2020 for HUGE Profits,"7,653",1095,20 minutes
MOST BULLISH CRYPTO NEWS EVER! The Bulls Are Back 👀,"7,547",1095,15 minutes
CHAINLINK IS MOONING + ZEUS CAPITAL LIQUIDATED?,"7,528",1095,"12 minutes, 20 seconds"
THETA Network Review - 500% GAINS With 6 Days Until Mainnet 2.0 Launches!,"7,462",1460,"10 minutes, 27 seconds"
"CRYPTO MARKET UPDATE - Bad News for US, Bitcoin $24k!, Cardano ADA, Binance BNB","7,081",1095,17 minutes
Cardano End of 2020 Major News! ADA Set for Blast Off 🚀,"6,856",1095,24 minutes
"CRYPTO NEWS - Litecoin Up 50%, XRP Surging, Bitcoin $23k, Cardano ADA","6,772",1095,"14 minutes, 23 seconds"
"CRYPTO NEWS - $50k BTC, XRP Dumping, Cardano ADA Blast Off Soon?","6,664",1095,"14 minutes, 34 seconds"
CRYPTO TEXT MESSAGE SCAM WARNING!,"6,426",1095,"9 minutes, 10 seconds"
TODAY IS THE MOST HISTORIC DAY IN CRYPTO HISTORY!,"6,373",1095,"13 minutes, 59 seconds"
Ripple XRP: SCAM or 100x Parabolic Gains!?,"6,289",1095,17 minutes
"CRYPTO MARKET UPDATE - Cardano ADA, Bitcoin, Ethereum, Ripple XRP","6,222",1095,"11 minutes, 13 seconds"
"Breaking Crypto News! BTC $11k Soon, ETH2 Launch, Matic Network, Zilliqa, TRON 4.0","6,120",1460,17 minutes
TOP 5 CRYPTO ALTCOINS BULLISH NOW! 🔥📈,"6,077",1460,18 minutes
"This is HUGE News! ""The Time is Now for Crypto""","5,700",1095,17 minutes
"CRYPTO MARKET DIP - BAD NEWS XRP, DOGE PUMP 50%, BITCOIN, SPARKPOINT UPDATES","5,612",1095,19 minutes
Is Ripple Burning 50 Billion XRP?! David Schwartz Speaks,"5,494",1095,"11 minutes, 11 seconds"
Top October Altcoin Picks! Big Gains Coming!,"5,296",1095,17 minutes
"CRYPTO NEWS - Why ETH Will Hit $1,000 Soon!","5,087",1095,"12 minutes, 15 seconds"
Sparkpoint SRK - Biggest Month Yet!! Staking/DeFi Launching!,"5,049",1095,28 minutes
"BITCOIN $20k COMING, SUPER BULLISH! Watch This Before It's Too Late!","4,881",1095,"14 minutes, 54 seconds"
New DeFi Platform and SFUEL Token! 1st Microlending Crypto Platform,"4,818",1095,35 minutes
Top 5 Reasons You Should Buy Cryptocurrency!,"4,813",1095,17 minutes
"WEEKLY CRYPTO NEWS - McAfee's GHOST, Altcoins Going Parabolic, BIG PROFITS COMING","4,786",1460,17 minutes
10x Coming? DeFi and Gaming Crypto Ready for Blast Off,"4,762",1095,19 minutes
Why New All Time Highs Coming for CRYPTO! 1 Trillion Global Market Cap,"4,546",1460,18 minutes
